year,low_fuel_price_gbp_per_mwh_th,low_annual_opex_gbp,low_cumulative_opex_gbp,low_cumulative_total_expenditure_gbp,base_fuel_price_gbp_per_mwh_th,base_annual_opex_gbp,base_cumulative_opex_gbp,base_cumulative_total_expenditure_gbp,high_fuel_price_gbp_per_mwh_th,high_annual_opex_gbp,high_cumulative_opex_gbp,high_cumulative_total_expenditure_gbp,wind_h2_cumulative_total_expenditure_gbp,wind_h2_capex_total_gbp,wind_h2_annual_opex_total_gbp
1,25.0,5186965758.657387,5186965758.657387,20436965758.657387,35.0,6716987358.657388,6716987358.657388,21966987358.657387,50.0,9012019758.657387,9012019758.657387,24262019758.657387,130413993983.26198,125710000000.0,4703993983.261978
2,25.0,5186965758.657387,10373931517.314774,25623931517.314774,35.0,6716987358.657388,13433974717.314775,28683974717.314774,50.0,9012019758.657387,18024039517.314774,33274039517.314774,135117987966.52397,125710000000.0,4703993983.261978
3,25.0,5186965758.657387,15560897275.97216,30810897275.97216,35.0,6716987358.657388,20150962075.972164,35400962075.97217,50.0,9012019758.657387,27036059275.97216,42286059275.97216,139821981949.78595,125710000000.0,4703993983.261978
4,25.0,5186965758.657387,20747863034.629547,35997863034.62955,35.0,6716987358.657388,26867949434.62955,42117949434.62955,50.0,9012019758.657387,36048079034.62955,51298079034.62955,144525975933.0479,125710000000.0,4703993983.261978
5,25.0,5186965758.657387,25934828793.286934,41184828793.286934,35.0,6716987358.657388,33584936793.286938,48834936793.28694,50.0,9012019758.657387,45060098793.286934,60310098793.286934,149229969916.30988,125710000000.0,4703993983.261978
6,25.0,5186965758.657387,31121794551.94432,46371794551.94432,35.0,6716987358.657388,40301924151.94433,55551924151.94433,50.0,9012019758.657387,54072118551.94432,69322118551.94432,153933963899.57187,125710000000.0,4703993983.261978
7,25.0,5186965758.657387,36308760310.60171,51558760310.60171,35.0,6716987358.657388,47018911510.601715,62268911510.601715,50.0,9012019758.657387,63084138310.60171,78334138310.60172,158637957882.83386,125710000000.0,4703993983.261978
8,25.0,5186965758.657387,41495726069.259094,56745726069.259094,35.0,6716987358.657388,53735898869.2591,68985898869.2591,50.0,9012019758.657387,72096158069.2591,87346158069.2591,163341951866.09583,125710000000.0,4703993983.261978
9,25.0,5186965758.657387,46682691827.91648,61932691827.91648,35.0,6716987358.657388,60452886227.91649,75702886227.91649,50.0,9012019758.657387,81108177827.91647,96358177827.91647,168045945849.3578,125710000000.0,4703993983.261978
10,25.0,6072565758.657387,52755257586.57387,68005257586.57387,35.0,7602587358.657388,68055473586.573875,83305473586.57388,50.0,9897619758.657387,91005797586.57385,106255797586.57385,172749939832.61978,125710000000.0,4703993983.261978
11,25.0,5186965758.657387,57942223345.231255,73192223345.23126,35.0,6716987358.657388,74772460945.23126,90022460945.23126,50.0,9012019758.657387,100017817345.23123,115267817345.23123,177453933815.88177,125710000000.0,4703993983.261978
12,25.0,5186965758.657387,63129189103.88864,78379189103.88864,35.0,6716987358.657388,81489448303.88866,96739448303.88866,50.0,9012019758.657387,109029837103.88861,124279837103.88861,182157927799.14374,125710000000.0,4703993983.261978
13,25.0,5186965758.657387,68316154862.54603,83566154862.54602,35.0,6716987358.657388,88206435662.54605,103456435662.54605,50.0,9012019758.657387,118041856862.54599,133291856862.54599,186861921782.4057,125710000000.0,4703993983.261978
14,25.0,5186965758.657387,73503120621.20341,88753120621.20341,35.0,6716987358.657388,94923423021.20345,110173423021.20345,50.0,9012019758.657387,127053876621.20337,142303876621.20337,191565915765.6677,125710000000.0,4703993983.261978
15,25.0,5186965758.657387,78690086379.86081,93940086379.86081,35.0,6716987358.657388,101640410379.86084,116890410379.86084,50.0,9012019758.657387,136065896379.86075,151315896379.86075,196269909748.9297,125710000000.0,4703993983.261978
16,25.0,5186965758.657387,83877052138.51819,99127052138.51819,35.0,6716987358.657388,108357397738.51823,123607397738.51823,50.0,9012019758.657387,145077916138.51813,160327916138.51813,200973903732.19165,125710000000.0,4703993983.261978
17,25.0,5186965758.657387,89064017897.17557,104314017897.17557,35.0,6716987358.657388,115074385097.17563,130324385097.17563,50.0,9012019758.657387,154089935897.1755,169339935897.1755,205677897715.4536,125710000000.0,4703993983.261978
18,25.0,5186965758.657387,94250983655.83295,109500983655.83295,35.0,6716987358.657388,121791372455.83302,137041372455.83302,50.0,9012019758.657387,163101955655.8329,178351955655.8329,210381891698.7156,125710000000.0,4703993983.261978
19,25.0,5186965758.657387,99437949414.49033,114687949414.49033,35.0,6716987358.657388,128508359814.49042,143758359814.49042,50.0,9012019758.657387,172113975414.49026,187363975414.49026,215085885681.9776,125710000000.0,4703993983.261978
20,25.0,6072565758.657387,105510515173.1477,120760515173.1477,35.0,7602587358.657388,136110947173.14781,151360947173.14783,50.0,9897619758.657387,182011595173.14764,197261595173.14764,219789879665.23956,125710000000.0,4703993983.261978
21,25.0,5186965758.657387,110697480931.80508,125947480931.80508,35.0,6716987358.657388,142827934531.8052,158077934531.8052,50.0,9012019758.657387,191023614931.80502,206273614931.80502,224493873648.50153,125710000000.0,4703993983.261978
22,25.0,5186965758.657387,115884446690.46246,131134446690.46246,35.0,6716987358.657388,149544921890.4626,164794921890.4626,50.0,9012019758.657387,200035634690.4624,215285634690.4624,229197867631.76352,125710000000.0,4703993983.261978
23,25.0,5186965758.657387,121071412449.11984,136321412449.11984,35.0,6716987358.657388,156261909249.11996,171511909249.11996,50.0,9012019758.657387,209047654449.11978,224297654449.11978,233901861615.0255,125710000000.0,4703993983.261978
24,25.0,5186965758.657387,126258378207.77722,141508378207.77722,35.0,6716987358.657388,162978896607.77734,178228896607.77734,50.0,9012019758.657387,218059674207.77716,233309674207.77716,238605855598.28748,125710000000.0,4703993983.261978
25,25.0,5186965758.657387,131445343966.4346,146695343966.4346,35.0,6716987358.657388,169695883966.43472,184945883966.43472,50.0,9012019758.657387,227071693966.43454,242321693966.43454,243309849581.54944,125710000000.0,4703993983.261978
