year,low_fuel_price_gbp_per_mwh_th,low_annual_opex_gbp,low_cumulative_opex_gbp,low_cumulative_total_expenditure_gbp,base_fuel_price_gbp_per_mwh_th,base_annual_opex_gbp,base_cumulative_opex_gbp,base_cumulative_total_expenditure_gbp,high_fuel_price_gbp_per_mwh_th,high_annual_opex_gbp,high_cumulative_opex_gbp,high_cumulative_total_expenditure_gbp,wind_h2_cumulative_total_expenditure_gbp,wind_h2_capex_total_gbp,wind_h2_annual_opex_total_gbp
1,25.0,5186965758.657387,5186965758.657387,20436965758.657387,35.0,6716987358.657388,6716987358.657388,21966987358.657387,50.0,9012019758.657387,9012019758.657387,24262019758.657387,80190787536.3363,76220077118.12119,3970710418.215122
2,25.0,5186965758.657387,10373931517.314774,25623931517.314774,35.0,6716987358.657388,13433974717.314775,28683974717.314774,50.0,9012019758.657387,18024039517.314774,33274039517.314774,84161497954.55142,76220077118.12119,3970710418.215122
3,25.0,5186965758.657387,15560897275.97216,30810897275.97216,35.0,6716987358.657388,20150962075.972164,35400962075.97217,50.0,9012019758.657387,27036059275.97216,42286059275.97216,88132208372.76656,76220077118.12119,3970710418.215122
4,25.0,5186965758.657387,20747863034.629547,35997863034.62955,35.0,6716987358.657388,26867949434.62955,42117949434.62955,50.0,9012019758.657387,36048079034.62955,51298079034.62955,92102918790.98167,76220077118.12119,3970710418.215122
5,25.0,5186965758.657387,25934828793.286934,41184828793.286934,35.0,6716987358.657388,33584936793.286938,48834936793.28694,50.0,9012019758.657387,45060098793.286934,60310098793.286934,96073629209.1968,76220077118.12119,3970710418.215122
6,25.0,5186965758.657387,31121794551.94432,46371794551.94432,35.0,6716987358.657388,40301924151.94433,55551924151.94433,50.0,9012019758.657387,54072118551.94432,69322118551.94432,100044339627.41193,76220077118.12119,3970710418.215122
7,25.0,5186965758.657387,36308760310.60171,51558760310.60171,35.0,6716987358.657388,47018911510.601715,62268911510.601715,50.0,9012019758.657387,63084138310.60171,78334138310.60172,104015050045.62704,76220077118.12119,3970710418.215122
8,25.0,5186965758.657387,41495726069.259094,56745726069.259094,35.0,6716987358.657388,53735898869.2591,68985898869.2591,50.0,9012019758.657387,72096158069.2591,87346158069.2591,107985760463.84216,76220077118.12119,3970710418.215122
9,25.0,5186965758.657387,46682691827.91648,61932691827.91648,35.0,6716987358.657388,60452886227.91649,75702886227.91649,50.0,9012019758.657387,81108177827.91647,96358177827.91647,111956470882.05728,76220077118.12119,3970710418.215122
10,25.0,6026965758.657387,52709657586.57387,67959657586.57387,35.0,7556987358.657388,68009873586.573875,83259873586.57388,50.0,9852019758.657387,90960197586.57385,106210197586.57385,115927181300.2724,76220077118.12119,3970710418.215122
11,25.0,5186965758.657387,57896623345.231255,73146623345.23126,35.0,6716987358.657388,74726860945.23126,89976860945.23126,50.0,9012019758.657387,99972217345.23123,115222217345.23123,119897891718.48753,76220077118.12119,3970710418.215122
12,25.0,5186965758.657387,63083589103.88864,78333589103.88864,35.0,6716987358.657388,81443848303.88866,96693848303.88866,50.0,9012019758.657387,108984237103.88861,124234237103.88861,123868602136.70265,76220077118.12119,3970710418.215122
13,25.0,5186965758.657387,68270554862.54603,83520554862.54602,35.0,6716987358.657388,88160835662.54605,103410835662.54605,50.0,9012019758.657387,117996256862.54599,133246256862.54599,127839312554.91777,76220077118.12119,3970710418.215122
14,25.0,5186965758.657387,73457520621.20341,88707520621.20341,35.0,6716987358.657388,94877823021.20345,110127823021.20345,50.0,9012019758.657387,127008276621.20337,142258276621.20337,131810022973.1329,76220077118.12119,3970710418.215122
15,25.0,5186965758.657387,78644486379.86081,93894486379.86081,35.0,6716987358.657388,101594810379.86084,116844810379.86084,50.0,9012019758.657387,136020296379.86075,151270296379.86075,135780733391.34804,76220077118.12119,3970710418.215122
16,25.0,5186965758.657387,83831452138.51819,99081452138.51819,35.0,6716987358.657388,108311797738.51823,123561797738.51823,50.0,9012019758.657387,145032316138.51813,160282316138.51813,139751443809.56314,76220077118.12119,3970710418.215122
17,25.0,5186965758.657387,89018417897.17557,104268417897.17557,35.0,6716987358.657388,115028785097.17563,130278785097.17563,50.0,9012019758.657387,154044335897.1755,169294335897.1755,143722154227.77826,76220077118.12119,3970710418.215122
18,25.0,5186965758.657387,94205383655.83295,109455383655.83295,35.0,6716987358.657388,121745772455.83302,136995772455.83302,50.0,9012019758.657387,163056355655.8329,178306355655.8329,147692864645.99338,76220077118.12119,3970710418.215122
