design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
wind,30000.00 MW,75000000000.0,67500000000.0
solar,60000.00 MW,42000000000.0,21000000000.0
electrolyzer,15000.00 MW,22500000000.0,31020430743.703747
h2_turbine,8200.00 MW,8610000000.0,6848146193.912271
h2_storage,5000000.00 MWh-H2,15000000000.0,250000000.0
gas_ccs_capacity,0.00 MW,0.0,0.0
gas_fixed_om,,0.0,0.0
gas_variable_om,,0.0,0.0
gas_fuel,,0.0,0.0
gas_ccs_consumables,,0.0,0.0
gas_co2_transport_storage,,0.0,0.0
gas_residual_carbon,,0.0,0.0
gas_major_maintenance,,0.0,0.0
TOTAL,,163110000000.0,126618576937.61603
