design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
wind,24000.00 MW,60000000000.0,54000000000.0
solar,0.00 MW,0.0,0.0
electrolyzer,6000.00 MW,9000000000.0,36218474141.4513
h2_turbine,8200.00 MW,8610000000.0,7749778431.41195
h2_storage,7000000.00 MWh-H2,21000000000.0,350000000.0
gas_ccs_capacity,0.00 MW,0.0,0.0
gas_fixed_om,,0.0,0.0
gas_variable_om,,0.0,0.0
gas_fuel,,0.0,0.0
gas_ccs_consumables,,0.0,0.0
gas_co2_transport_storage,,0.0,0.0
gas_residual_carbon,,0.0,0.0
gas_major_maintenance,,0.0,0.0
TOTAL,,98610000000.0,98318252572.86325
