wind_h2_share,solar_h2_share,gas_ccs_share,wind_h2_demand_mw,solar_h2_demand_mw,gas_ccs_demand_mw,wind_h2_capex_gbp,wind_h2_opex_25y_gbp,solar_h2_capex_gbp,solar_h2_opex_25y_gbp,gas_ccs_capex_gbp,gas_ccs_opex_25y_gbp,total_capex_gbp,total_opex_25y_gbp,total_expenditure_25y_gbp
0.0,0.0,1.0,0.0,0.0,8200.0,0.0,0.0,0.0,0.0,15250000000.0,169695883966.43472,15250000000.0,169695883966.43472,184945883966.43472
0.0,0.05,0.95,0.0,410.0,7790.0,0.0,0.0,12017370117.1875,9890001921.940695,14487500000.0,161211089768.11298,26504870117.1875,171101091690.05368,197605961807.24118
0.0,0.1,0.9,0.0,820.0,7380.0,0.0,0.0,24034740234.375,19780003843.88139,13725000000.0,152726295569.79126,37759740234.375,172506299413.67264,210266039648.04764
0.0,0.15,0.85,0.0,1230.0,6970.0,0.0,0.0,36052110351.5625,29670005765.82208,12962500000.0,144241501371.4695,49014610351.5625,173911507137.2916,222926117488.8541
0.0,0.2,0.8,0.0,1640.0,6560.0,0.0,0.0,48069480468.75,39560007687.76278,12200000000.0,135756707173.14778,60269480468.75,175316714860.91055,235586195329.66055
0.0,0.25,0.75,0.0,2050.0,6150.0,0.0,0.0,60086850585.9375,49450009609.70347,11437500000.0,127271912974.82605,71524350585.9375,176721922584.5295,248246273170.467
0.0,0.3,0.7,0.0,2460.0,5740.0,0.0,0.0,72104220703.125,59340011531.64416,10675000000.0,118787118776.5043,82779220703.125,178127130308.14847,260906351011.27347
0.0,0.35,0.65,0.0,2870.0,5330.0,0.0,0.0,84121590820.3125,69230013453.58485,9912500000.0,110302324578.18257,94034090820.3125,179532338031.76743,273566428852.07993
0.0,0.4,0.6,0.0,3280.0,4920.0,0.0,0.0,96138960937.5,79120015375.52556,9150000000.0,101817530379.86082,105288960937.5,180937545755.38638,286226506692.88635
0.0,0.45,0.55,0.0,3690.0,4510.0,0.0,0.0,108156331054.6875,89010017297.46625,8387500000.000001,93332736181.53911,116543831054.6875,182342753479.00537,298886584533.6929
0.0,0.5,0.5,0.0,4100.0,4100.0,0.0,0.0,120173701171.875,98900019219.40694,7625000000.0,84847941983.21736,127798701171.875,183747961202.6243,311546662374.49927
0.0,0.55,0.44999999999999996,0.0,4510.0,3689.9999999999995,0.0,0.0,132191071289.06252,108790021141.34764,6862499999.999999,76363147784.89561,139053571289.0625,185153168926.24326,324206740215.3058
0.0,0.6,0.4,0.0,4920.0,3280.0,0.0,0.0,144208441406.25,118680023063.28831,6100000000.0,67878353586.57389,150308441406.25,186558376649.8622,336866818056.1122
0.0,0.65,0.35,0.0,5330.0,2870.0,0.0,0.0,156225811523.4375,128570024985.22902,5337500000.0,59393559388.25215,161563311523.4375,187963584373.48117,349526895896.9187
0.0,0.7,0.30000000000000004,0.0,5740.0,2460.0000000000005,0.0,0.0,168243181640.625,138460026907.1697,4575000000.000001,50908765189.93043,172818181640.625,189368792097.10013,362186973737.7251
0.0,0.75,0.25,0.0,6150.0,2050.0,0.0,0.0,180260551757.8125,148350028829.1104,3812500000.0,42423970991.60868,184073051757.8125,190773999820.7191,374847051578.5316
0.0,0.8,0.19999999999999996,0.0,6560.0,1639.9999999999995,0.0,0.0,192277921875.0,158240030751.05112,3049999999.9999995,33939176793.286938,195327921875.0,192179207544.33804,387507129419.338
0.0,0.85,0.15000000000000002,0.0,6970.0,1230.0000000000002,0.0,0.0,204295291992.1875,168130032672.9918,2287500000.0000005,25454382594.965214,206582791992.1875,193584415267.957,400167207260.14453
0.0,0.9,0.09999999999999998,0.0,7380.0,819.9999999999998,0.0,0.0,216312662109.375,178020034594.9325,1524999999.9999998,16969588396.643469,217837662109.375,194989622991.57596,412827285100.9509
0.0,0.95,0.050000000000000044,0.0,7790.0,410.00000000000034,0.0,0.0,228330032226.5625,187910036516.87317,762500000.0000007,8484794198.321744,229092532226.5625,196394830715.19492,425487362941.75745
0.0,1.0,0.0,0.0,8200.0,0.0,0.0,0.0,240347402343.75,197800038438.81387,0.0,0.0,240347402343.75,197800038438.81387,438147440782.56384
0.05,0.0,0.95,410.0,0.0,7790.0,4800353275.561167,4913737813.788694,0.0,0.0,14487500000.0,161211089768.11298,19287853275.561165,166124827581.90167,185412680857.46283
0.05,0.05,0.8999999999999999,410.0,410.0,7379.999999999999,4800353275.561167,4913737813.788694,12017370117.1875,9890001921.940695,13724999999.999998,152726295569.79123,30542723392.748665,167530035305.52063,198072758698.2693
0.05,0.1,0.85,410.0,820.0,6970.0,4800353275.561167,4913737813.788694,24034740234.375,19780003843.88139,12962500000.0,144241501371.4695,41797593509.936165,168935243029.1396,210732836539.07574
0.05,0.15,0.7999999999999999,410.0,1230.0,6559.999999999999,4800353275.561167,4913737813.788694,36052110351.5625,29670005765.82208,12199999999.999998,135756707173.14777,53052463627.123665,170340450752.75854,223392914379.8822
0.05,0.2,0.75,410.0,1640.0,6150.0,4800353275.561167,4913737813.788694,48069480468.75,39560007687.76278,11437500000.0,127271912974.82605,64307333744.311165,171745658476.37753,236052992220.6887
0.05,0.25,0.7,410.0,2050.0,5740.0,4800353275.561167,4913737813.788694,60086850585.9375,49450009609.70347,10675000000.0,118787118776.5043,75562203861.49866,173150866199.99646,248713070061.49512
0.05,0.3,0.6499999999999999,410.0,2460.0,5329.999999999999,4800353275.561167,4913737813.788694,72104220703.125,59340011531.64416,9912499999.999998,110302324578.18256,86817073978.68617,174556073923.61542,261373147902.30157
0.05,0.35,0.6,410.0,2870.0,4920.0,4800353275.561167,4913737813.788694,84121590820.3125,69230013453.58485,9150000000.0,101817530379.86082,98071944095.87367,175961281647.23438,274033225743.10803
0.05,0.4,0.5499999999999999,410.0,3280.0,4509.999999999999,4800353275.561167,4913737813.788694,96138960937.5,79120015375.52556,8387499999.999999,93332736181.5391,109326814213.06117,177366489370.85333,286693303583.9145
0.05,0.45,0.49999999999999994,410.0,3690.0,4099.999999999999,4800353275.561167,4913737813.788694,108156331054.6875,89010017297.46625,7624999999.999998,84847941983.21735,120581684330.24867,178771697094.4723,299353381424.72095
0.05,0.5,0.44999999999999996,410.0,4100.0,3689.9999999999995,4800353275.561167,4913737813.788694,120173701171.875,98900019219.40694,6862499999.999999,76363147784.89561,131836554447.43617,180176904818.09125,312013459265.5274
0.05,0.55,0.3999999999999999,410.0,4510.0,3279.999999999999,4800353275.561167,4913737813.788694,132191071289.06252,108790021141.34764,6099999999.999999,67878353586.573875,143091424564.6237,181582112541.7102,324673537106.33386
0.05,0.6,0.35,410.0,4920.0,2870.0,4800353275.561167,4913737813.788694,144208441406.25,118680023063.28831,5337500000.0,59393559388.25215,154346294681.81116,182987320265.32916,337333614947.1403
0.05,0.65,0.29999999999999993,410.0,5330.0,2459.9999999999995,4800353275.561167,4913737813.788694,156225811523.4375,128570024985.22902,4574999999.999999,50908765189.930405,165601164798.99866,184392527988.94812,349993692787.9468
0.05,0.7,0.25,410.0,5740.0,2050.0,4800353275.561167,4913737813.788694,168243181640.625,138460026907.1697,3812500000.0,42423970991.60868,176856034916.18616,185797735712.56708,362653770628.75323
0.05,0.75,0.19999999999999996,410.0,6150.0,1639.9999999999995,4800353275.561167,4913737813.788694,180260551757.8125,148350028829.1104,3049999999.9999995,33939176793.286938,188110905033.37366,187202943436.18604,375313848469.5597
0.05,0.8,0.1499999999999999,410.0,6560.0,1229.9999999999993,4800353275.561167,4913737813.788694,192277921875.0,158240030751.05112,2287499999.9999986,25454382594.965195,199365775150.56116,188608151159.805,387973926310.36615
0.05,0.85,0.09999999999999998,410.0,6970.0,819.9999999999998,4800353275.561167,4913737813.788694,204295291992.1875,168130032672.9918,1524999999.9999998,16969588396.643469,210620645267.74866,190013358883.42395,400634004151.1726
0.05,0.9,0.04999999999999993,410.0,7380.0,409.99999999999943,4800353275.561167,4913737813.788694,216312662109.375,178020034594.9325,762499999.9999989,8484794198.321725,221875515384.93616,191418566607.0429,413294081991.97906
0.05,0.95,0.0,410.0,7790.0,0.0,4800353275.561167,4913737813.788694,228330032226.5625,187910036516.87317,0.0,0.0,233130385502.12366,192823774330.66187,425954159832.7855
0.1,0.0,0.9,820.0,0.0,7380.0,9600706551.122334,9827475627.577389,0.0,0.0,13725000000.0,152726295569.79126,23325706551.122334,162553771197.36865,185879477748.491
0.1,0.05,0.85,820.0,410.0,6970.0,9600706551.122334,9827475627.577389,12017370117.1875,9890001921.940695,12962500000.0,144241501371.4695,34580576668.30983,163958978920.9876,198539555589.29742
0.1,0.1,0.8,820.0,820.0,6560.0,9600706551.122334,9827475627.577389,24034740234.375,19780003843.88139,12200000000.0,135756707173.14778,45835446785.49733,165364186644.60657,211199633430.10388
0.1,0.15,0.75,820.0,1230.0,6150.0,9600706551.122334,9827475627.577389,36052110351.5625,29670005765.82208,11437500000.0,127271912974.82605,57090316902.68483,166769394368.22552,223859711270.91034
0.1,0.2,0.7,820.0,1640.0,5740.0,9600706551.122334,9827475627.577389,48069480468.75,39560007687.76278,10675000000.0,118787118776.5043,68345187019.87233,168174602091.84448,236519789111.7168
0.1,0.25,0.65,820.0,2050.0,5330.0,9600706551.122334,9827475627.577389,60086850585.9375,49450009609.70347,9912500000.0,110302324578.18257,79600057137.05983,169579809815.46344,249179866952.52325
0.1,0.3,0.6000000000000001,820.0,2460.0,4920.000000000001,9600706551.122334,9827475627.577389,72104220703.125,59340011531.64416,9150000000.000002,101817530379.86086,90854927254.24733,170985017539.0824,261839944793.3297
0.1,0.35,0.55,820.0,2870.0,4510.0,9600706551.122334,9827475627.577389,84121590820.3125,69230013453.58485,8387500000.000001,93332736181.53911,102109797371.43483,172390225262.70135,274500022634.13617
0.1,0.4,0.5,820.0,3280.0,4100.0,9600706551.122334,9827475627.577389,96138960937.5,79120015375.52556,7625000000.0,84847941983.21736,113364667488.62233,173795432986.3203,287160100474.9426
0.1,0.45,0.45,820.0,3690.0,3690.0,9600706551.122334,9827475627.577389,108156331054.6875,89010017297.46625,6862500000.0,76363147784.89563,124619537605.80983,175200640709.93927,299820178315.7491
0.1,0.5,0.4,820.0,4100.0,3280.0,9600706551.122334,9827475627.577389,120173701171.875,98900019219.40694,6100000000.0,67878353586.57389,135874407722.99733,176605848433.55823,312480256156.55554
0.1,0.55,0.35,820.0,4510.0,2870.0,9600706551.122334,9827475627.577389,132191071289.06252,108790021141.34764,5337500000.0,59393559388.25215,147129277840.18484,178011056157.1772,325140333997.36206
0.1,0.6,0.30000000000000004,820.0,4920.0,2460.0000000000005,9600706551.122334,9827475627.577389,144208441406.25,118680023063.28831,4575000000.000001,50908765189.93043,158384147957.37234,179416263880.79614,337800411838.16846
0.1,0.65,0.25,820.0,5330.0,2050.0,9600706551.122334,9827475627.577389,156225811523.4375,128570024985.22902,3812500000.0,42423970991.60868,169639018074.55984,180821471604.41507,350460489678.9749
0.1,0.7,0.20000000000000007,820.0,5740.0,1640.0000000000005,9600706551.122334,9827475627.577389,168243181640.625,138460026907.1697,3050000000.000001,33939176793.286957,180893888191.74734,182226679328.03406,363120567519.7814
0.1,0.75,0.15000000000000002,820.0,6150.0,1230.0000000000002,9600706551.122334,9827475627.577389,180260551757.8125,148350028829.1104,2287500000.0000005,25454382594.965214,192148758308.93484,183631887051.653,375780645360.5879
0.1,0.8,0.09999999999999998,820.0,6560.0,819.9999999999998,9600706551.122334,9827475627.577389,192277921875.0,158240030751.05112,1524999999.9999998,16969588396.643469,203403628426.12234,185037094775.27197,388440723201.3943
0.1,0.85,0.050000000000000044,820.0,6970.0,410.00000000000034,9600706551.122334,9827475627.577389,204295291992.1875,168130032672.9918,762500000.0000007,8484794198.321744,214658498543.30984,186442302498.89093,401100801042.2008
0.1,0.9,0.0,820.0,7380.0,0.0,9600706551.122334,9827475627.577389,216312662109.375,178020034594.9325,0.0,0.0,225913368660.49734,187847510222.5099,413760878883.0072
