# Renewables.ninja Wind power (Point API) - 56.456, -1.367 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Etc/GMT", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "56.45591372358451", "lon": "-1.3674135390200173", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "16400000", "height": "110", "turbine": "Vestas V164 9500", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,15669086.775,15.402
2019-01-01 01:00,2019-01-01 01:00,15332249.174,14.671
2019-01-01 02:00,2019-01-01 02:00,15081600.066,14.253
2019-01-01 03:00,2019-01-01 03:00,14534007.165,13.490
2019-01-01 04:00,2019-01-01 04:00,13855852.650,12.772
2019-01-01 05:00,2019-01-01 05:00,13503660.823,12.448
2019-01-01 06:00,2019-01-01 06:00,13593425.679,12.528
2019-01-01 07:00,2019-01-01 07:00,13861524.366,12.777
2019-01-01 08:00,2019-01-01 08:00,14113432.339,13.030
2019-01-01 09:00,2019-01-01 09:00,14571621.442,13.547
2019-01-01 10:00,2019-01-01 10:00,14944047.068,14.044
2019-01-01 11:00,2019-01-01 11:00,15250796.538,14.534
2019-01-01 12:00,2019-01-01 12:00,15450640.499,14.911
2019-01-01 13:00,2019-01-01 13:00,15493020.311,14.995
2019-01-01 14:00,2019-01-01 14:00,15426476.909,14.863
2019-01-01 15:00,2019-01-01 15:00,15271576.064,14.570
2019-01-01 16:00,2019-01-01 16:00,15022107.859,14.156
2019-01-01 17:00,2019-01-01 17:00,14630893.700,13.621
2019-01-01 18:00,2019-01-01 18:00,14104036.495,13.020
2019-01-01 19:00,2019-01-01 19:00,13511093.662,12.454
2019-01-01 20:00,2019-01-01 20:00,12945191.909,11.983
2019-01-01 21:00,2019-01-01 21:00,12395874.216,11.575
2019-01-01 22:00,2019-01-01 22:00,11766858.736,11.159
2019-01-01 23:00,2019-01-01 23:00,10888083.123,10.619
2019-01-02 00:00,2019-01-02 00:00,9768627.265,10.014
2019-01-02 01:00,2019-01-02 01:00,8684530.789,9.453
